phase,insertion mode,token,name,count
initial phase,,DOCTYPE,,5878995631
initial phase,,characters,,4447740640
initial phase,,start tag,html,3646859105
initial phase,,comment,,1741798417
initial phase,,start tag,script,169480981
initial phase,,start tag,head,57437844
initial phase,,start tag,style,36688933
initial phase,,start tag,meta,35404712
initial phase,,start tag,link,32967581
initial phase,,start tag,title,22650517
initial phase,,start tag,other,11721068
initial phase,,start tag,div,10419067
initial phase,,start tag,body,9763207
initial phase,,start tag,br,9264835
initial phase,,start tag,table,7401789
initial phase,,start tag,base,5453719
initial phase,,start tag,center,3938431
initial phase,,start tag,a,3836698
initial phase,,start tag,iframe,3484876
